Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health Life Expectancy,Freedom,Trust (Government Corruption),Generosity
Sierra Leone,139,3.926399946,0.72688031,0.636142015,0.508651428,0.715315044,0.861330688,0.088660747
Burundi,140,3.775300026,0.64926424,0.490325719,0.534000015,0.626350224,0.606934547,-0.017551597
Zambia,141,3.759399891,0.822472,0.698824465,0.5529937739999999,0.806500256,0.801289678,0.078037128
Haiti,142,3.720799923,0.74113293,0.593247831,0.5559862520000001,0.537825167,0.6847672459999999,0.40053457
Lesotho,143,3.6528000830000003,0.79604883,0.7804957029999999,0.48003624,0.738125861,0.857392073,-0.145732045
India,144,3.573299885,0.8849824000000001,0.592200935,0.602151871,0.8814448709999999,0.772042692,0.057551607000000005
Malawi,145,3.538000107,0.70622263,0.544007301,0.575928879,0.803223193,0.731700778,0.021433279
Yemen,146,3.5274000169999997,0.77596827,0.817980587,0.567272835,0.599920273,0.800287724,-0.157735437
Botswana,147,3.4788999560000002,0.97112036,0.7791217570000001,0.589244537,0.8213281040000001,0.777930915,-0.250394493
Tanzania,148,3.4762001039999997,0.79676652,0.6889331940000001,0.574960747,0.82153976,0.619799435,0.10966868699999999
Central African Republic,149,3.475899935,0.66251602,0.31945985600000004,0.45200000799999995,0.640880644,0.891806662,0.082410358
Rwanda,150,3.312299967,0.76001043,0.54083544,0.610988464,0.9005894059999999,0.183541179,0.055483952
Zimbabwe,151,3.2992000580000003,0.78657117,0.7630927559999999,0.5561726,0.711457908,0.81023699,-0.072063953
South Sudan,152,2.8166000839999996,0.74253597,0.553707123,0.51,0.451313615,0.7634173040000001,0.016518548
Afghanistan,153,2.566900015,0.74628606,0.470366955,0.525900002,0.39657300700000003,0.9336865540000001,-0.0964294
